workers,speedup,real,user,system,memory_usage_mb
S,1.00,15.28 ± 0.27,13.89 ± 0.11,0.33 ± 0.01,137 ± 0.30
1,0.87,17.48 ± 0.39,14.80 ± 0.09,0.40 ± 0.01,239 ± 0.50
2,1.17,13.11 ± 0.15,16.04 ± 0.12,0.52 ± 0.01,361 ± 0.81
3,1.47,10.37 ± 0.10,16.53 ± 0.49,0.59 ± 0.02,467 ± 11.14
4,1.71,8.96 ± 0.07,17.55 ± 0.34,0.67 ± 0.01,588 ± 11.08
5,1.84,8.31 ± 0.15,18.51 ± 0.24,0.76 ± 0.01,720 ± 1.67
6,1.99,7.66 ± 0.07,19.45 ± 0.09,0.83 ± 0.01,837 ± 1.96
7,2.06,7.43 ± 0.09,20.38 ± 0.12,0.92 ± 0.01,956 ± 2.29
8,2.12,7.21 ± 0.11,21.36 ± 0.14,1.02 ± 0.02,1075 ± 2.38
9,2.09,7.30 ± 0.11,21.82 ± 0.12,1.10 ± 0.01,1194 ± 2.73
10,2.01,7.59 ± 0.31,22.63 ± 0.09,1.17 ± 0.01,1313 ± 3.18
11,2.14,7.14 ± 0.11,22.96 ± 0.20,1.23 ± 0.02,1432 ± 3.30
12,2.04,7.48 ± 0.13,23.90 ± 0.17,1.32 ± 0.01,1550 ± 3.57
13,2.01,7.59 ± 0.14,24.84 ± 0.10,1.42 ± 0.02,1669 ± 3.82
14,2.05,7.45 ± 0.11,25.58 ± 0.10,1.49 ± 0.01,1788 ± 4.09
15,2.06,7.42 ± 0.09,26.16 ± 0.15,1.56 ± 0.01,1876 ± 12.17
16,2.01,7.59 ± 0.07,27.29 ± 0.15,1.62 ± 0.02,2006 ± 4.62
